landkode;land;lbnppc_1960;lbnppc_1996;lbnppc_2014;skole_p_1960;skole_h_1960;gruve_1960;olje_1960;malaria_1960;kapitalisme_1960;skole_p_1996
FIN;Finland;9.183785945;10.20229399;10.5115462;0.97;0.07;0;0;0;4;0.985066376
FJI;Fiji;8.015917013;8.727067556;8.946081229;0.85;0;0.04;0;;5;0.93146492
FRA;France;9.335819489;10.32187602;10.50673966;1;0.08;0;0;0;4;0.997141418
GAB;Gabon;8.710578376;9.920266711;9.792477079;1;0;0.22;1;1;5;
GBR;United Kingdom;9.458564728;10.23668866;10.50606489;0.92;0.09;0.02;0;0;4;
GEO;Georgia;;8.069639114;9.279529063;;;;;;;0.837484207
GHA;Ghana;7.702602516;7.613970067;8.223560598;0.38;0;0.02;0;1;3;
GIN;Guinea;7.147009281;7.092460069;7.197830628;;0;0.08;0;1;5;
GMB;Gambia;7.512253674;7.375193903;7.442045308;0.12;0;0;0;1;5;0.594637184
GNB;Guinea-Bissau;7.389262833;7.257100507;7.19555982;0.25;0;0;0;1;1;
GNQ;Equatorial Guinea;7.32606758;8.098852154;10.58375008;;;;;;;
GRC;Greece;8.742355604;9.91014006;10.01218195;1;0.04;0.02;0;0;4;0.896747131
GRD;Grenada;;8.847819819;9.285420515;;;0;0;;3;
GTM;Guatemala;8.127675362;8.617654117;8.847271345;0.45;0.02;0;0;0.0204;3;
HKG;China. Hong Kong SAR;8.372228102;10.28705548;10.7502301;0.87;0.04;0;0;0.046;5;0.927428207
HND;Honduras;7.864086582;8.123950693;8.448749112;0.67;0.01;0.01;0;0.00324;3;
HRV;Croatia;;9.481831542;9.86846462;;;;;;;
HTI;Haiti;7.821743607;7.501618007;7.463138228;0.46;0;0;0;1;3;
HUN;Hungary;;9.547449131;9.994585676;1;;0.04;0;0;1;0.784552231
IDN;Indonesia;7.398227957;8.755254783;9.211264361;0.71;0.01;0.12;1;0.41678;3;0.925569763
IND;India;6.878140578;7.701076793;8.618672452;0.61;0.03;0.02;0;0.13186;3;
IRL;Ireland;9.125460921;10.32317922;10.86081785;1;0.08;0.01;0;0;5;0.87663353
IRN;Iran (Islamic Republic of);9.597542218;9.349674199;9.71567695;0.42;0.01;0.05;1;0.26656;3;
IRQ;Iraq;;8.69257503;9.380602037;0.65;0.02;0.41;1;0.013;0;0.755428619
ISL;Iceland;9.230082264;10.1991903;10.56033169;1;0.07;0.01;0;0;5;0.980292816
ISR;Israel;8.962536178;10.03710041;10.32482005;0.98;0.1;0.01;0;0;4;
